feature,effect,p,p_adj
gene_089,0.226667,0.242489,0.692824
gene_090,0.121667,0.678285,0.919708
gene_091,-2.19667,0.00021905,0.00184463
gene_092,2.16,3.772e-05,0.000402346
gene_093,-0.33,0.331994,0.76984
gene_094,-0.00833333,0.974879,0.981011
gene_096,-0.0933333,0.731332,0.936105
gene_098,-0.0683333,0.838029,0.957747
gene_099,0.0416667,0.695607,0.921595
gene_100,-0.0916667,0.728598,0.936105
gene_103,0.3,0.390363,0.781182
gene_104,-0.045,0.763519,0.939937
gene_105,0.843333,0.00547102,0.0397893
gene_106,0.458333,0.0355761,0.237174
gene_107,0.106667,0.511392,0.870454
gene_108,-0.00833333,0.968314,0.981011
gene_109,0.228333,0.567123,0.904765
gene_111,0.0183333,0.92445,0.977075
gene_112,-0.0883333,0.658484,0.919708
gene_113,0.07,0.795249,0.940094
gene_114,-0.06,0.555693,0.89809
gene_117,0.233333,0.174317,0.58862
gene_118,-0.19,0.481528,0.856868
gene_119,-0.34,0.312282,0.757048
gene_120,0.0533333,0.800334,0.940094
gene_121,-1.69667,6.79047e-07,2.71619e-05
gene_122,0.315,0.116426,0.490032
gene_124,0.126667,0.652628,0.919708
gene_125,0.375,0.138916,0.505151
gene_126,-0.22,0.29735,0.756961
gene_127,-0.133333,0.47976,0.856868
gene_129,1.27833,0.000293087,0.0023447
gene_132,0.246667,0.122508,0.490032
gene_134,0.313333,0.119841,0.490032
gene_135,-0.05,0.819887,0.943754
gene_137,0.243333,0.213834,0.682574
gene_138,0.0133333,0.970308,0.981011
gene_139,0.681667,0.0489851,0.301447
gene_140,2.625,4.88691e-08,3.90953e-06
gene_142,-0.135,0.100353,0.446013
gene_143,0.0716667,0.756309,0.939937
gene_144,-1.47167,4.08932e-05,0.000408932
gene_145,0.458333,0.0828714,0.409759
gene_146,-0.0916667,0.664391,0.919708
gene_148,0.355,0.132358,0.504219
gene_149,0.338333,0.309907,0.757048
gene_150,0.296667,0.235269,0.692824
gene_151,0.183333,0.270095,0.720255
gene_152,-0.298333,0.302785,0.756961
gene_153,0.231667,0.0845666,0.409759
gene_154,-0.0716667,0.745716,0.939485
gene_156,-0.0183333,0.927593,0.977075
gene_157,2.565,2.31035e-06,4.80137e-05
gene_158,2.02,4.98341e-06,8.8594e-05
gene_159,0.02,0.941814,0.978508
gene_160,-0.285,0.085881,0.409759
gene_162,-0.1,0.775204,0.940094
gene_163,-0.161667,0.553448,0.89809
gene_164,-0.0266667,0.900966,0.977075
gene_165,0.04,0.880699,0.972431
gene_166,-0.0633333,0.696956,0.921595
gene_167,-0.126667,0.489915,0.861388
gene_168,0.233333,0.400356,0.781182
gene_169,0.301667,0.132247,0.504219
gene_171,0.371667,0.0720091,0.397292
gene_173,-0.205,0.399443,0.781182
gene_174,-0.133333,0.58339,0.906236
gene_176,0.313333,0.420323,0.800615
gene_177,0.0816667,0.662013,0.919708
gene_178,0.13,0.617231,0.919708
gene_180,0.168333,0.57383,0.904765
gene_181,0.585,0.0581356,0.344507
gene_182,0.238333,0.301563,0.756961
gene_184,0.39,0.0768941,0.409759
gene_185,-0.186667,0.34217,0.781182
gene_186,1.63833,2.40068e-06,4.80137e-05
gene_187,0.0566667,0.477874,0.856868
gene_189,0.035,0.928221,0.977075
gene_190,0.103333,0.711902,0.933642
gene_192,0.25,0.375918,0.781182
gene_193,-0.131667,0.620379,0.919708
gene_194,0.113333,0.527659,0.884465
gene_195,0.375,0.0370784,0.237301
gene_196,0.035,0.863806,0.972431
gene_197,-0.198333,0.481988,0.856868
gene_198,-0.105,0.507766,0.870454
gene_199,-0.285,0.347329,0.781182
gene_200,-0.0733333,0.782513,0.940094
